track_name,artist_name,album_name,genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,release_year
Track_101,Justin Bieber,Back in Black,Britpop,58,0.805,0.507,0.205,0.043,0.189,0.043,0.918,132.15,219934,-0.27,1973
Track_102,Juice WRLD,Back in Black,Classical,55,0.478,0.795,0.565,0.329,0.118,0.301,0.877,164.06,200931,-2.63,1954
Track_103,Earth Wind & Fire,Talking Book,EDM,46,0.822,0.337,0.072,0.42,0.409,0.796,0.218,101.13,186347,-22.44,2013
Track_104,Imagine Dragons,Homework,Reggae,17,0.33,0.495,0.302,0.72,0.866,0.496,0.454,149.53,271806,-5.21,1989
Track_105,Led Zeppelin,Nevermind,Synthwave,25,0.73,0.948,0.11,0.601,0.742,0.037,0.113,168.99,321637,-15.84,2001
Track_106,Earth Wind & Fire,Blonde,Rock,28,0.49,0.779,0.382,0.524,0.378,0.523,0.282,75.88,107998,-6.61,1969
Track_107,Travis Scott,Lemonade,Metal,86,0.749,0.291,0.405,0.687,0.949,0.168,0.176,70.37,309868,-20.68,2021
Track_108,Shawn Mendes,Starboy,Hip-Hop,35,0.629,0.358,0.209,0.156,0.674,0.563,0.212,110.61,157947,-19.39,1990
Track_109,Oasis,1989,Blues,86,0.488,0.815,0.368,0.606,0.082,0.254,0.98,160.64,252535,-11.86,2013
Track_110,Doja Cat,Astroworld,Trap,70,0.258,0.515,0.346,0.127,0.788,0.446,0.597,167.49,277125,-21.77,1959
Track_111,24kGoldn,21,R&B,63,0.452,0.731,0.238,0.931,0.85,0.678,0.283,148.91,269513,-11.23,2016
Track_112,Mark Ronson,Random Access Memories,Reggae,84,0.662,0.617,0.128,0.618,0.857,0.277,0.909,65.77,287568,-3.41,2018
Track_113,Adele,Thriller,Britpop,53,0.646,0.65,0.039,0.88,0.518,0.517,0.331,94.28,281111,-4.82,2023
Track_114,Bee Gees,Scorpion,Soul,49,0.524,0.513,0.234,0.142,0.818,0.262,0.969,108.35,207387,-15.03,1959
Track_115,Megan Thee Stallion,Fine Line,Disco,69,0.296,0.5,0.109,0.05,0.898,0.693,0.439,194.78,267619,-2.44,2021
Track_116,Imagine Dragons,Blonde,K-Pop,60,0.977,0.515,0.574,0.492,0.086,0.321,0.475,93.7,272855,-10.42,1990
Track_117,Led Zeppelin,21,Reggae,15,0.725,0.354,0.025,0.106,0.127,0.219,0.39,116.46,173616,-23.87,2013
Track_118,Led Zeppelin,Blonde,Latin,41,0.501,0.501,0.366,0.817,0.592,0.493,0.17,73.54,277646,-15.67,1974
Track_119,Sting,Channel Orange,Indie,64,0.59,0.14,0.106,0.33,0.45,0.371,0.614,132.17,307941,-16.8,1968
Track_120,Rihanna,I Am,EDM,95,0.433,0.399,0.542,0.527,0.673,0.247,0.809,111.57,234202,-8.15,2000
Track_121,Stevie Wonder,Currents,Reggae,38,0.711,0.965,0.384,0.225,0.049,0.39,0.538,160.97,213038,-5.63,1953
Track_122,Earth Wind & Fire,Morning Glory,Synthwave,100,0.286,0.117,0.218,0.15,0.656,0.334,0.771,188.87,268771,-3.18,1981
Track_123,Cardi B,21,Emo Rap,23,0.979,0.526,0.257,0.947,0.437,0.431,0.558,154.62,230984,-3.31,1967
Track_124,Kanye West,Discovery,Emo Rap,42,0.392,0.597,0.162,0.963,0.283,0.238,0.243,158.7,214992,-17.07,1983
Track_125,The Chainsmokers,Channel Orange,K-Pop,47,0.624,0.897,0.269,0.342,0.734,0.126,0.089,193.74,316128,-23.02,1985
Track_126,Harry Styles,Discovery,Classical,65,0.411,0.6,0.191,0.108,0.704,0.199,0.097,186.73,349699,-19.36,2011
Track_127,John Lennon,21,R&B,41,0.731,0.222,0.628,0.968,0.15,0.526,0.869,126.6,299398,-8.74,2002
Track_128,Megan Thee Stallion,Views,Folk,21,0.27,0.611,0.357,0.716,0.89,0.731,0.213,183.51,135998,-20.61,1986
Track_129,Queen,Manic,Funk,100,0.922,0.88,0.026,0.562,0.102,0.787,0.315,198.47,180454,-11.42,1973
Track_130,Travis Scott,1989,Disco,48,0.458,0.751,0.428,0.711,0.013,0.276,0.324,154.42,348022,-20.17,2009
Track_131,Rihanna,Random Access Memories,Metal,44,0.722,0.264,0.109,0.32,0.236,0.216,0.269,165.53,237549,-1.15,2004
Track_132,Post Malone,Currents,K-Pop,91,0.74,0.155,0.094,0.304,0.385,0.407,0.882,158.5,246272,-17.23,2023
Track_133,Eagles,Random Access Memories,Reggae,41,0.304,0.236,0.491,0.6,0.395,0.444,0.488,135.25,212166,-8.4,1997
Track_134,The Beatles,When We All Fall Asleep,Synthwave,24,0.482,0.916,0.091,0.82,0.858,0.17,0.549,83.04,228264,-3.64,1960
Track_135,Harry Styles,DAMN.,Synthwave,49,0.901,0.496,0.055,0.131,0.395,0.455,0.57,154.19,171986,-17.3,1976
Track_136,Ed Sheeran,Manic,Classical,54,0.235,0.407,0.06,0.984,0.888,0.065,0.918,64.44,161178,-14.78,1950
Track_137,Doja Cat,1989,Britpop,17,0.55,0.916,0.258,0.079,0.916,0.701,0.174,180.44,329689,-22.03,2003
Track_138,Juice WRLD,Manic,Disco,52,0.203,0.12,0.208,0.667,0.517,0.43,0.816,94.65,197822,-16.35,1966
Track_139,Lil Nas X,Purple Rain,K-Pop,90,0.68,0.933,0.58,0.238,0.064,0.479,0.465,154.08,257723,-3.19,1964
Track_140,Prince,Thriller,Metal,56,0.874,0.15,0.337,0.286,0.775,0.588,0.347,143.71,281793,-8.19,2006
Track_141,Imagine Dragons,When We All Fall Asleep,Reggae,85,0.523,0.345,0.371,0.586,0.698,0.148,0.681,137.82,233463,-23.83,1968
Track_142,The Chainsmokers,Discovery,Synthwave,59,0.525,0.233,0.257,0.747,0.45,0.681,0.33,159.06,188756,-4.86,1998
Track_143,Led Zeppelin,Channel Orange,Punk,42,0.389,0.281,0.427,0.913,0.805,0.083,0.724,86.67,228659,-18.29,2003
Track_144,Kanye West,In Rainbows,Grunge,66,0.794,0.745,0.372,0.475,0.826,0.273,0.94,62.15,212369,-1.57,1955
Track_145,Cardi B,DAMN.,K-Pop,88,0.749,0.453,0.171,0.318,0.269,0.378,0.653,103.18,192611,-16.01,2011
Track_146,Travis Scott,Dark Side of the Moon,R&B,56,0.358,0.379,0.049,0.855,0.704,0.023,0.565,141.76,187422,-7.0,2010
Track_147,Billie Eilish,Morning Glory,Jazz,59,0.392,0.59,0.614,0.334,0.725,0.396,0.723,163.54,317316,-13.48,1992
Track_148,Camila Cabello,Future Nostalgia,EDM,49,0.915,0.583,0.424,0.058,0.032,0.679,0.929,153.55,171747,-5.89,1967
Track_149,Stevie Wonder,1989,Britpop,68,0.371,0.506,0.058,0.631,0.887,0.731,0.663,62.2,254221,-11.69,1979
Track_150,Stevie Wonder,After Hours,Pop,49,0.424,0.547,0.46,0.426,0.893,0.152,0.904,133.41,166803,-18.98,2017
Track_151,Rihanna,Lemonade,Classical,52,0.491,0.461,0.376,0.98,0.215,0.55,0.839,151.52,299981,-3.54,1995
Track_152,Megan Thee Stallion,Thriller,Hip-Hop,31,0.244,0.108,0.128,0.495,0.412,0.63,0.576,180.11,292356,-22.62,2001
Track_153,Tones and I,Thriller,Blues,86,0.642,0.341,0.602,0.678,0.266,0.439,0.662,85.11,186451,-3.74,1977
Track_154,Ed Sheeran,Supernatural,Trap,55,0.511,0.168,0.122,0.238,0.793,0.317,0.884,106.44,145244,-6.11,1968
Track_155,Mark Ronson,Hotel California,Disco,80,0.854,0.403,0.504,0.945,0.377,0.621,0.078,98.27,261291,-0.19,1994
Track_156,Travis Scott,7,Indie,79,0.73,0.688,0.074,0.612,0.758,0.573,0.126,81.59,216939,-7.21,2020
Track_157,Coldplay,Morning Glory,K-Pop,50,0.204,0.374,0.247,0.267,0.126,0.158,0.467,137.66,266018,-14.8,1999
Track_158,Ed Sheeran,Hotel California,Indie,83,0.453,0.443,0.204,0.384,0.08,0.722,0.892,196.94,284714,-10.7,2020
Track_159,Kendrick Lamar,Human After All,Metal,68,0.585,0.156,0.294,0.417,0.46,0.071,0.284,94.52,278897,-9.37,1971
Track_160,Lady Gaga,OK Computer,Jazz,71,0.94,0.396,0.411,0.796,0.313,0.274,0.808,180.33,271847,-0.64,2008
Track_161,Mark Ronson,Scorpion,Folk,39,0.511,0.384,0.483,0.627,0.919,0.628,0.353,99.24,244934,-5.35,1975
Track_162,Drake,DAMN.,Trap,28,0.732,0.59,0.62,0.457,0.673,0.356,0.321,157.0,198731,-4.53,1975
Track_163,Stevie Wonder,Human After All,Funk,42,0.714,0.737,0.517,0.073,0.941,0.389,0.423,130.93,206805,-1.99,1967
Track_164,Ariana Grande,Astroworld,Latin,60,0.898,0.578,0.422,0.084,0.731,0.53,0.38,150.58,185204,-23.89,1954
Track_165,Linkin Park,Human After All,Britpop,76,0.821,0.194,0.082,0.22,0.71,0.451,0.69,90.94,228850,-15.65,2001
Track_166,Justin Bieber,Human After All,Trap,100,0.577,0.363,0.6,0.085,0.79,0.587,0.374,108.03,409786,-5.39,2014
Track_167,Tones and I,Back in Black,Indie,87,0.553,0.16,0.048,0.704,0.021,0.281,0.152,172.01,295263,-1.75,2010
Track_168,Cardi B,When We All Fall Asleep,Disco,33,0.533,0.511,0.523,0.623,0.177,0.529,0.418,163.23,222763,-2.92,1972
Track_169,Harry Styles,Currents,Punk,72,0.417,0.726,0.521,0.572,0.76,0.434,0.39,87.59,241166,-22.15,1999
Track_170,Beyonce,Rumours,Disco,26,0.658,0.41,0.553,0.611,0.773,0.568,0.327,146.03,192795,-22.88,1990
Track_171,Mark Ronson,I Am,R&B,49,0.741,0.555,0.283,0.136,0.365,0.157,0.641,157.08,275866,-8.87,1980
Track_172,Taylor Swift,Channel Orange,EDM,51,0.857,0.651,0.565,0.942,0.46,0.164,0.407,138.62,277475,-8.67,2012
Track_173,Stevie Wonder,Human After All,Funk,48,0.33,0.603,0.521,0.218,0.031,0.188,0.318,169.3,177032,-10.86,2003
Track_174,Doja Cat,Rumours,Latin,64,0.805,0.833,0.251,0.814,0.04,0.578,0.558,198.57,259290,-22.44,2015
Track_175,Linkin Park,When We All Fall Asleep,Reggae,32,0.837,0.491,0.646,0.768,0.225,0.65,0.597,109.09,257254,-7.23,1954
Track_176,Coldplay,SOUR,EDM,64,0.828,0.607,0.355,0.591,0.16,0.783,0.322,140.18,132660,-1.19,1967
Track_177,24kGoldn,Human After All,R&B,97,0.917,0.983,0.566,0.126,0.823,0.207,0.712,175.99,215590,-5.96,1967
Track_178,Kanye West,Manic,Funk,37,0.523,0.502,0.419,0.871,0.088,0.417,0.309,191.09,217807,-15.77,1968
Track_179,Travis Scott,I Am,Trap,87,0.273,0.965,0.42,0.69,0.808,0.639,0.42,195.54,154680,-4.38,1950
Track_180,Travis Scott,Evolve,Folk,37,0.642,0.532,0.237,0.676,0.046,0.089,0.779,124.34,307128,-21.89,1986
Track_181,Kendrick Lamar,Starboy,Soul,81,0.977,0.909,0.576,0.299,0.831,0.703,0.137,110.46,236750,-22.94,1950
Track_182,Beyonce,Discovery,EDM,38,0.746,0.308,0.433,0.697,0.001,0.387,0.173,91.67,271059,-8.0,1956
Track_183,The Weeknd,After Hours,Emo Rap,85,0.529,0.218,0.065,0.379,0.694,0.091,0.341,183.34,76940,-21.57,1993
Track_184,Doja Cat,1989,Britpop,84,0.676,0.246,0.241,0.211,0.711,0.737,0.623,121.93,272185,-19.57,1968
Track_185,Nirvana,1989,R&B,52,0.535,0.804,0.176,0.638,0.236,0.485,0.721,99.89,184594,-1.47,2025
Track_186,Ed Sheeran,Homework,Reggae,25,0.783,0.363,0.054,0.889,0.907,0.401,0.155,129.94,232029,-10.15,1976
Track_187,Tones and I,After Hours,Indie,88,0.643,0.425,0.45,0.755,0.907,0.619,0.066,69.45,327869,-18.45,1990
Track_188,Queen,21,Metal,46,0.798,0.477,0.273,0.634,0.511,0.131,0.128,71.06,332274,-1.98,2014
Track_189,Eminem,Anti,Folk,18,0.707,0.672,0.215,0.433,0.906,0.199,0.277,189.45,187366,-22.1,2000
Track_190,Rihanna,In Rainbows,Rock,36,0.337,0.111,0.106,0.011,0.472,0.284,0.531,175.15,164039,-18.52,1989
Track_191,Drake,1989,K-Pop,53,0.902,0.398,0.29,0.519,0.25,0.78,0.634,129.46,210097,-12.23,1984
Track_192,Led Zeppelin,Rumours,Trap,42,0.28,0.611,0.475,0.226,0.483,0.045,0.853,94.24,274023,-13.21,1971
Track_193,Earth Wind & Fire,Morning Glory,EDM,2,0.778,0.473,0.223,0.412,0.684,0.224,0.122,112.19,196666,-12.45,1954
Track_194,Led Zeppelin,Imagine,Blues,100,0.254,0.514,0.198,0.836,0.311,0.447,0.057,88.09,222646,-10.9,2016
Track_195,Post Malone,OK Computer,Blues,9,0.978,0.791,0.481,0.541,0.756,0.129,0.917,63.35,358063,-11.46,2009
Track_196,Coldplay,After Hours,Folk,56,0.776,0.374,0.149,0.973,0.399,0.769,0.954,79.93,181793,-18.0,1950
Track_197,Queen,7,Disco,47,0.96,0.176,0.08,0.132,0.779,0.069,0.578,120.9,184816,-0.89,2002
Track_198,Prince,Views,Classical,77,0.849,0.39,0.305,0.231,0.896,0.118,0.766,75.26,213134,-22.36,1990
Track_199,Harry Styles,Dark Side of the Moon,Folk,72,0.801,0.502,0.312,0.844,0.086,0.648,0.333,158.66,278877,-9.92,2002
Track_200,The Beatles,I Am,Country,39,0.509,0.144,0.208,0.812,0.165,0.762,0.845,137.83,86961,-11.25,1961
Track_201,Nirvana,Dark Side of the Moon,R&B,61,0.809,0.298,0.145,0.397,0.652,0.751,0.128,142.06,254796,-2.06,1967
Track_202,Michael Jackson,Divide,Hip-Hop,77,0.3,0.906,0.542,0.328,0.041,0.374,0.206,140.34,202650,-4.46,1975
Track_203,Bee Gees,Rumours,Pop,48,0.367,0.267,0.196,0.875,0.033,0.499,0.279,101.31,206247,-14.7,1998
Track_204,Glass Animals,Back in Black,Rock,52,0.356,0.887,0.351,0.624,0.762,0.638,0.97,169.47,272032,-16.02,1961
